experiment,config_name,dataset,condition,condition_value,model,seed,n_train,n_test,treated_fraction_train,fit_seconds,selected_config,selected_index,val_mse_selected,n_configs_evaluated,tuning_seconds,refit_seconds,pehe,abs_ate_error,cate_mae,cate_bias,ate_true,ate_hat,policy_value,policy_regret,optimal_policy_value,pehe_tau_q1,pehe_tau_q2,pehe_tau_q3,pehe_tau_q4,diag_treated_fraction,diag_ps_min,diag_ps_max,diag_ps_frac_below_0.1,diag_ps_frac_above_0.9,diag_ps_ks_treated_vs_control,diag_smd_mean,diag_smd_max,diag_smd_frac_above_0.1,error,diag_true_ps_min,diag_true_ps_max
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,10,672,75,0.18601190476190477,1.42165207862854,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.14763059997652642,6,1.19706130027771,0.2230086326599121,0.568850262860639,0.10215502518176489,0.40151212910849626,-0.10215502518176416,4.335689215411743,4.233534190229978,8.59894756807673,0.0,8.59894756807673,0.6768598736761624,0.4070144605446994,0.5279814595560789,0.6192623898746418,0.18601190476190477,0.015471563899278569,0.580730954614321,0.28422619047619047,0.0,0.38249360146252287,0.1757904914173024,0.36082088623975367,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,11,672,75,0.1875,1.392601728439331,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.13213151951364538,6,1.170257568359375,0.22053956985473633,1.6113683071458227,0.15239990804795056,1.250365582593675,-0.1523999080479508,4.390080635994342,4.237680727946391,13.44385613242315,0.10706544437195298,13.550921576795103,2.2484802051350194,0.9701983828093043,1.356238439084699,1.569262072059447,0.1875,0.01741262031357248,0.6618507329651547,0.30952380952380953,0.0,0.38400488400488403,0.18346590456712608,0.40355290335897287,0.6,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,12,672,75,0.18303571428571427,1.410675048828125,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.19092588349563963,6,1.181971788406372,0.22708654403686523,21.827786767998383,4.927006291456495,14.613140805393414,4.927006291456492,8.167656931020298,13.094663222476793,84.1787340473408,0.5122422245382978,84.6909762718791,38.41930719703881,10.891205136368955,11.42952635672665,12.715350906502845,0.18303571428571427,0.016671550331679295,0.578495639764899,0.3288690476190476,0.0,0.38144742103158735,0.17752235681875578,0.375524745742867,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,13,672,75,0.18303571428571427,1.4069178104400635,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.26434944368633834,6,1.1853017807006836,0.2202308177947998,0.4639714385311399,0.02033551890173868,0.3561095786452366,0.020335518901737567,3.9256817327171536,3.9460172516188923,6.247837970016093,0.0,6.247837970016093,0.46474184689280906,0.48275253968523774,0.4076326644917996,0.5201522132151976,0.18303571428571427,0.014032908181168827,0.61156006145801,0.36160714285714285,0.0,0.4250299880047981,0.18868005232949286,0.42812996619243,0.6,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,14,672,75,0.19047619047619047,1.4530754089355469,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.2389081019752212,6,1.2202632427215576,0.23124217987060547,1.548895352449651,0.20225091858198851,1.070584563954189,0.20225091858198802,3.9636861517499717,4.16593707033196,10.454824202390894,0.09391549195213322,10.548739694343027,2.7120335992598226,0.6696630180835416,0.8737282488322952,0.9626353163308085,0.19047619047619047,0.01283987166930908,0.5913113117625519,0.30952380952380953,0.0,0.4094669117647059,0.1893381854682727,0.4032651071445681,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,15,672,75,0.19345238095238096,1.4738984107971191,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.22403749880576412,6,1.2454156875610352,0.2268071174621582,0.7094632502859322,0.010774234879455058,0.5082257081135018,-0.010774234879455934,4.488906434591061,4.478132199711606,8.900826912840778,0.0129099120055578,8.913736824846335,1.0847311446750967,0.401778823297925,0.6175033233393885,0.5253368619003886,0.19345238095238096,0.013771473535222034,0.5823490563892421,0.29017857142857145,0.0,0.41038887311950045,0.18737543530427606,0.38365521215114984,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,16,672,75,0.18452380952380953,1.4290003776550293,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.16798945331987097,6,1.20076584815979,0.22675347328186035,1.8464784165684371,0.0516514550474505,1.4769122021824066,-0.05165145504744959,3.8251275537781826,3.773476098730732,14.605025003171129,0.13033293763291454,14.735357940804043,2.6699288787747033,1.347598237949114,1.623763461304552,1.4046048441068928,0.18452380952380953,0.01643692499010905,0.5842100480842497,0.31994047619047616,0.0,0.37673651989639745,0.18297148387238008,0.40866248569475044,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,17,672,75,0.19047619047619047,1.4755394458770752,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.1331426930230149,6,1.2363696098327637,0.2375173568725586,1.333844626578973,0.1631619934299624,0.9066319109860225,-0.1631619934299624,3.7452895448900776,3.582127551460115,12.497086822452527,0.05486290779222536,12.551949730244752,2.0022154635171554,1.0854536966768125,1.0451170314503815,0.8975476949053701,0.19047619047619047,0.013476380342139428,0.5887260388472878,0.2931547619047619,0.0,0.39016544117647056,0.17703394042223594,0.39867588841528373,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,18,672,75,0.19196428571428573,1.461169958114624,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.14898371784438816,6,1.2293529510498047,0.23027563095092773,1.6482540525826206,0.019365372431120687,1.094535755409828,0.019365372431121592,3.9330175940637546,3.9523829664948753,11.096316337420133,0.17308027611243837,11.269396613532571,2.8681215185967166,0.9815572231528172,1.057395000704263,0.6833941889075206,0.19196428571428573,0.010555947128387845,0.6221962742786185,0.3229166666666667,0.0,0.4100389738318558,0.19747708740398498,0.4434779232077364,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,19,672,75,0.1800595238095238,1.4052696228027344,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.25772985546067356,6,1.1788434982299805,0.22486567497253418,0.7711460012038234,0.001571453151849589,0.519209078048433,-0.001571453151848902,4.182856218826348,4.181284765674499,7.383558221117317,0.029765237765394303,7.4133234588827115,1.2077391272758877,0.503107278155457,0.4624926350680828,0.6595742380343467,0.1800595238095238,0.013806755208880923,0.5773035454954967,0.3125,0.0,0.3819951703139296,0.1801313019120182,0.41654759417115234,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,20,672,75,0.18303571428571427,1.4069433212280273,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.12839965297654568,6,1.1848299503326416,0.22051763534545898,2.9511172610383114,0.8659859051308771,2.077096618269665,-0.8659859051308768,4.722805469184018,3.856819564053141,20.1909197426441,0.23975654641647992,20.430676289060578,4.080487448680782,2.2945355485635455,2.6917806375790447,2.3439591467455116,0.18303571428571427,0.017580336562783787,0.5613705514801535,0.2961309523809524,0.0,0.38104758096761293,0.16879439172196012,0.3655902985857423,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,21,672,75,0.1800595238095238,1.4196534156799316,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.26219778680351785,6,1.1825649738311768,0.23559188842773438,0.42379644294949087,0.11756313820950082,0.3439274250718871,-0.11756313820950012,4.107409742058923,3.9898466038494225,7.276592063734127,0.0,7.276592063734127,0.5615472729679003,0.4162514388565063,0.3247745418859945,0.35213777051798384,0.1800595238095238,0.013549389161361159,0.5467422714251008,0.34077380952380953,0.0,0.40477868938518996,0.1803477417451047,0.37690713236920903,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,22,672,75,0.18452380952380953,1.4733538627624512,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.19874573995592953,6,1.2393317222595215,0.23249053955078125,1.2833155593425996,0.12270206408701334,0.9897308948143977,0.12270206408701274,4.623469641373431,4.746171705460444,11.064710324451184,0.0738837801426282,11.138594104593812,2.061926037697355,0.9043484928206841,0.9040045973332221,0.8107721363860337,0.18452380952380953,0.013873625193160872,0.6040224336782075,0.30357142857142855,0.0,0.37962090887685424,0.18474807861552772,0.3733718584533806,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,23,672,75,0.18452380952380953,1.4394428730010986,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.12522869538737322,6,1.2101097106933594,0.22778582572937012,4.016821898438914,0.8878296962442485,2.2875991989043456,0.8878296962442486,2.019971662565434,2.9078013588096825,16.493960759229626,0.2921370924144533,16.78609785164408,7.5086558613857655,1.3591362450975617,1.4900422455139406,1.8275840000776398,0.18452380952380953,0.013045008086306197,0.5695740534206457,0.29464285714285715,0.0,0.4062279255945373,0.18043539779170265,0.3958742653850422,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,24,672,75,0.18452380952380953,1.4402494430541992,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.13374967281870087,6,1.2118251323699951,0.22653460502624512,2.6433144142718255,0.5743211107612716,1.1432405626159972,0.574321110761273,4.015211833260161,4.589532944021433,10.463190959301151,0.24497318967928727,10.708164148980439,5.132893649904483,0.5348059147461017,0.5160146847220174,0.8347870894881104,0.18452380952380953,0.015405953425030691,0.5854415196335634,0.31398809523809523,0.0,0.39904638568401224,0.18415006753825558,0.40724298221597505,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,25,672,75,0.17857142857142858,1.4323079586029053,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.11873491521866106,6,1.2098603248596191,0.22089767456054688,7.980353277239076,1.6748722158115985,5.34544886465807,1.674872215811597,2.3657951812226976,4.040667397034296,35.97973265884307,0.5360911502977217,36.51582380914079,13.894247747488421,5.539400896550033,4.141355196442076,3.4815728270041117,0.17857142857142858,0.013645521759281732,0.5734559729128814,0.34523809523809523,0.0,0.3789855072463768,0.1943690908045554,0.4049938513041168,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,26,672,75,0.18154761904761904,1.4360675811767578,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.2619842265229214,6,1.2077512741088867,0.22678494453430176,0.7561906110176981,0.09252785844355405,0.5393912600430504,0.09252785844355475,4.069120522463573,4.161648380907127,8.988753331461467,0.029943487235994937,9.018696818697462,1.0867961803174782,0.590310418169173,0.43256450592833157,0.7475539480787312,0.18154761904761904,0.012761059669307876,0.5588221332571895,0.2857142857142857,0.0,0.3951117734724292,0.1739283739874525,0.3824062815161629,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,27,672,75,0.18601190476190477,1.4284789562225342,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.121654225268364,6,1.206322431564331,0.22064757347106934,35.897404049765825,7.653210828429816,19.88800726987423,7.653210828429815,-0.6684755489869564,6.98473527944286,81.59215340345392,1.255456198884417,82.84760960233834,68.19087432904247,8.98161622981355,13.19687428629279,13.641688718111208,0.18601190476190477,0.016388737782577916,0.5971132113641607,0.31101190476190477,0.0,0.4133528336380256,0.18391883189618366,0.37453576081259893,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,28,672,75,0.18898809523809523,1.4249489307403564,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.1567397243870491,6,1.1875135898590088,0.23604416847229004,1.0080581701867508,0.05288833053431752,0.747601390785308,-0.05288833053431643,3.7867168106442683,3.733828480109951,10.028889879406734,0.02560291402505399,10.054492793431788,1.5163048762951867,1.0495827682757664,0.6447422936013465,0.6258910718671932,0.18898809523809523,0.015601823650282235,0.6162501837139163,0.3020833333333333,0.0,0.37058441089359245,0.18125370686711118,0.41108319496819673,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,s_learner,29,672,75,0.1875,1.4609060287475586,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.13476414357017394,6,1.2325551509857178,0.2269287109375,1.1907752282367576,0.2879806051813514,0.9096302615826416,-0.28798060518135093,5.052511980262755,4.764531375081404,11.344938263210697,0.02716936678371873,11.372107629994415,1.5223988166792268,1.1784930768684454,1.1560067517468,0.7920576453798841,0.1875,0.011679989991218618,0.5838689209700921,0.32589285714285715,0.0,0.39255189255189255,0.1859399703013082,0.40878972159479804,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,0,672,75,0.18303571428571427,1.9807391166687012,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.30258336227145743,6,1.6664457321166992,0.31243109703063965,0.8390665956870899,0.005497497457233713,0.6615070122183202,-0.005497497457233429,4.05634575318767,4.050848255730436,6.44088717118196,0.0,6.44088717118196,1.0654688592824701,0.7690735177352771,0.715592280590136,0.7559342493301567,0.18303571428571427,0.015537093975601997,0.5622980946615538,0.31547619047619047,0.0,0.3786485405837665,0.1840815109040787,0.37851628205057564,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,1,672,75,0.19196428571428573,1.992283821105957,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.31747974825151704,6,1.6830244064331055,0.3075096607208252,0.8445716055151112,0.17833841724591526,0.6827658293197099,-0.1783384172459149,4.2142477603062325,4.035909343060317,8.238802977146783,0.0,8.238802977146783,0.8284260260202972,0.7924409908187203,0.883165429262243,0.8686079143282331,0.19196428571428573,0.014780819396271709,0.5968684185640735,0.28273809523809523,0.0,0.36866675232344,0.17594519971689987,0.38953028248571747,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,2,672,75,0.18154761904761904,1.995809555053711,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.2815905704654369,6,1.6983046531677246,0.2958700656890869,0.8262612296631634,0.006155452088046687,0.6478804586331482,0.0061554520880476166,4.064009157208732,4.0701646092967785,7.492020093452197,0.0,7.492020093452197,1.1363802322924075,0.519925091107139,0.6779667874325581,0.823310897834972,0.18154761904761904,0.01554288550564484,0.5701034846394465,0.3273809523809524,0.0,0.40321907600596124,0.178924329173562,0.42111588545858597,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,3,672,75,0.19047619047619047,2.0170061588287354,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.1947695773019885,6,1.6971642971038818,0.31798744201660156,1.0017961697532145,0.05705112324737893,0.7214868860041213,-0.05705112324737924,4.011240467092333,3.954189343844954,12.369006932820128,0.0902652697281745,12.459272202548302,1.4556168158524867,0.9529601968531944,0.4809024045801656,0.8666818046164831,0.19047619047619047,0.0165943188066821,0.5727596596424224,0.27827380952380953,0.0,0.36672794117647056,0.17660289427310588,0.3762902074312649,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,4,672,75,0.18601190476190477,1.991558313369751,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.16521754714199832,6,1.6955525875091553,0.29439210891723633,1.2514973727641003,0.10995914135156504,0.9465508770046466,0.1099591413515641,4.163696052943034,4.273655194294599,11.267101011514551,0.11492180213608627,11.382022813650638,1.7668514722020472,0.9588416921371091,1.1209922648141866,0.9660081903568056,0.18601190476190477,0.014909819501311839,0.5517940105889383,0.30952380952380953,0.0,0.39072760511883,0.17852572689103735,0.37453576081259893,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,5,672,75,0.19345238095238096,2.004779577255249,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.2574611765625972,6,1.6892008781433105,0.31384992599487305,0.9460118390215915,0.06740505621658732,0.7192103051870061,0.06740505621658821,3.9331437410854035,4.000548797301991,6.368607776879399,0.01488382892139839,6.383491605800797,1.0233259224610787,0.8692986158484649,1.0179964142722433,0.8562893708628039,0.19345238095238096,0.016859497504150667,0.5992615257193149,0.27976190476190477,0.0,0.3971898949758728,0.17606695196495736,0.40839385268331657,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,6,672,75,0.18452380952380953,1.9320144653320312,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.33260464368057224,6,1.6270296573638916,0.3033757209777832,0.7796725308711256,0.09313171056001357,0.6044887999283634,-0.09313171056001439,4.016693170673207,3.9235614601131936,5.467977141813069,0.0,5.467977141813069,0.9359971704036606,0.6353125524756811,0.8278740451051363,0.6750688398792107,0.18452380952380953,0.0122836648095902,0.5601753357873364,0.2916666666666667,0.0,0.3874499646809513,0.1707833552677563,0.40026893257586565,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,7,672,75,0.18898809523809523,1.9991910457611084,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.22573180269773338,6,1.6739773750305176,0.323502779006958,1.2766418485691622,0.11232508077548564,1.0016164253183146,-0.11232508077548525,3.5578866081987015,3.445561527423216,8.379742251879618,0.1330190538739373,8.512761305753555,1.7271114163756054,1.1634866804645678,0.8435067146745655,1.2419157459013463,0.18898809523809523,0.013495985011059728,0.5932627568172648,0.3020833333333333,0.0,0.4084230296900961,0.18544552237956252,0.43473334556619453,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,8,672,75,0.19345238095238096,2.0998082160949707,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.07416996549023247,6,1.7662553787231445,0.3312201499938965,16.472316256614373,1.7681137266420635,6.654914966874534,1.7681137266420621,10.668346257956449,12.436459984598512,57.77515408921806,0.2861620035433319,58.061316092761395,31.793384478510276,5.1261324571169515,5.1713989357434285,2.9344540911930843,0.19345238095238096,0.01480705591124428,0.6894771163752703,0.3020833333333333,0.0,0.40607436843599204,0.1824866843491901,0.3560993634276682,0.64,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,9,672,75,0.1800595238095238,2.103789806365967,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.060293360976990576,6,1.774284839630127,0.3279459476470947,2.1587899553468772,0.15309091589029666,1.4076067736187716,0.1530909158902957,5.304671650267495,5.4577625661577915,26.529644214513628,0.05845664102857029,26.588100855542198,3.167968537249091,2.4396599091174695,1.414937501532714,0.9666498874004583,0.1800595238095238,0.015356333100467318,0.614268559303028,0.3273809523809524,0.0,0.36747611405258657,0.1805341423846863,0.3874702659193068,0.68,,,
fair_selection,fair_selection,synthetic,scenario,ihdp_baseline,t_learner,10,672,75,0.18601190476190477,1.9700522422790527,"{'base_learner': 'gbm', 'n_estimators': 50, 'max_depth': 2, 'learning_rate': 0.05}",0,0.14781839270885364,6,1.6709845066070557,0.29749131202697754,0.769365367285053,0.1561245512861742,0.6062772965294372,0.1561245512861753,4.335689215411743,4.491813766697917,8.59894756807673,0.0,8.59894756807673,0.674579461439144,0.7399041542673862,0.8557220600683538,0.7940882593630483,0.18601190476190477,0.015471563899278569,0.580730954614321,0.28422619047619047,0.0,0.38249360146252287,0.1757904914173024,0.36082088623975367,0.64,,,
